layer,goal,dimension
ce_status,CE,status
hab_coral_extent,CP,status
hab_land_extent,CP,status
hab_coral_health,CP,status
hab_coral_health,HAB,status
hab_coral_trend,CP,trend
hab_coral_trend,HAB,trend
hab_land_health,CP,status
hab_land_health,HAB,status
hab_land_trend,CP,trend
hab_land_trend,HAB,trend
cs_status_placeholder,CS,status
cs_status_placeholder,CS,trend
cw_status_placeholder,CW,status
cw_status_placeholder,CW,trend
ico_status,ICO,status
ico_status,ICO,trend
lsp_status,LSP,status
rao_status_placeholder,RAO,status
spp_status,SPP,status
spp_trend,SPP,trend
tr_status,TR,status
tr_status,TR,trend