goal,element,res_mpa,res_fishing_reg,res_local_emp,res_mgmt,res_spp_div
AO,,x,x,,,
CP,coral,x,,,x,x
CP,mangrove,x,,,x,
CP,saltmarsh,x,,,x,
CP,seagrass,x,,,x,
CP,native_land,,,,x,x
CP,seaice_shoreline,,,,x,
CS,mangrove,x,,,x,
CS,saltmarsh,x,,,x,
CS,seagrass,x,,,,
CW,,,,,x,
ECO,,,,x,x,x
FIS,,,x,,x,
HAB,coral,x,,,x,x
HAB,mangrove,x,,,x,
HAB,saltmarsh,x,,,x,
HAB,seagrass,x,,,x,
HAB,seaice_edge,,,,x,
HAB,soft_bottom,,x,,x,
HAB,native_land,,,,x,x
ICO,,x,x,,x,x
SPP,,x,x,,x,
LIV,,,,,x,
LSP,,x,,x,x,x
MAR,,,,,x,
NP,corals,x,,,x,
NP,fish_oil,,x,,x,
NP,ornamentals,x,,,x,
NP,seaweeds,,,,x,
NP,shells,x,,,x,
NP,sponges,x,,,x,
TR,,,,x,x,