"region_id","stock_id","taxon_key","year","catch","score","gapfilled","method"
1,"Marine_animals-77",1e+05,2019,0.986915084388889,0.0571086245454545,1,"Mean gapfilled"
1,"Scombroids-77",100036,2019,20.8094223227778,0.0571086245454545,1,"Mean gapfilled"
1,"Sharks,_rays,_chimaeras-77",100038,2019,23.9846436111111,0.0571086245454545,1,"Mean gapfilled"
1,"Marine_fishes_not_identified-77",100039,2019,93.7818268583333,0.0571086245454545,1,"Mean gapfilled"
1,"Miscellaneous_marine_crustaceans-77",100047,2019,0.867906666666667,0.0571086245454545,1,"Mean gapfilled"
1,"Clams,_cockles,_arkshells-77",100056,2019,19.6187486111111,0.0571086245454545,1,"Mean gapfilled"
1,"Miscellaneous_marine_molluscs-77",100058,2019,9.68745694444444,0.0571086245454545,1,"Mean gapfilled"
1,"Starfish_and_other_echinoderms-77",100176,2019,0.00614694444444444,0.0571086245454545,1,"Mean gapfilled"
1,"Shrimps,_prawns-77",100345,2019,26.5701211111111,0.0571086245454545,1,"Mean gapfilled"
1,"Gastropoda-77",290006,2019,3.36725705882353,0.142771561363636,1,"Mean gapfilled"
1,"Asteroidea-77",290010,2019,0.0254647058823529,0.142771561363636,1,"Mean gapfilled"
1,"Echinoidea-77",290011,2019,22.2861222222222,0.142771561363636,1,"Mean gapfilled"
1,"Holothuroidea-77",290012,2019,1.1127525,0.142771561363636,1,"Mean gapfilled"
1,"Rajiformes-77",300014,2019,12.3246427805556,0.285543122727273,1,"Mean gapfilled"
1,"Clupeiformes-77",300028,2019,0.251075515247312,0.285543122727273,1,"Mean gapfilled"
1,"Gadiformes-77",300044,2019,0.850145878972222,0.285543122727273,1,"Mean gapfilled"
1,"Perciformes-77",300060,2019,1.89371219444444,0.285543122727273,1,"Mean gapfilled"
1,"Pleuronectiformes-77",300061,2019,21.7155027777778,0.285543122727273,1,"Mean gapfilled"
1,"Teuthida-77",390002,2019,168.55439147575,0.285543122727273,1,"Mean gapfilled"
1,"Octopoda-77",390007,2019,0.119479722222222,0.285543122727273,1,"Mean gapfilled"
1,"Carcharhinidae-77",400011,2019,2.15752536761111,0.456868996363636,1,"Mean gapfilled"
1,"Sphyrnidae-77",400012,2019,0.000202727272727273,0.456868996363636,1,"Mean gapfilled"
1,"Squatinidae-77",400015,2019,0.21196,0.456868996363636,1,"Mean gapfilled"
1,"Rajidae-77",400019,2019,0.9032,0.456868996363636,1,"Mean gapfilled"
1,"Clupeidae-77",400043,2019,0.0552521875721562,0.456868996363636,1,"Mean gapfilled"
1,"Ariidae-77",400145,2019,0.128990277777778,0.456868996363636,1,"Mean gapfilled"
1,"Macrouridae-77",400185,2019,0.549951111111111,0.456868996363636,1,"Mean gapfilled"
1,"Exocoetidae-77",400206,2019,0.000200499419354839,0.456868996363636,1,"Mean gapfilled"
1,"Atherinidae-77",400218,2019,0.121211370967742,0.456868996363636,1,"Mean gapfilled"
1,"Berycidae-77",400240,2019,12.3582605611111,0.456868996363636,1,"Mean gapfilled"
1,"Holocentridae-77",400243,2019,0.221747004608295,0.456868996363636,1,"Mean gapfilled"
1,"Scorpaenidae-77",400264,2019,42.1411912903226,0.456868996363636,1,"Mean gapfilled"
1,"Serranidae-77",400289,2019,0.0624480555555556,0.456868996363636,1,"Mean gapfilled"
1,"Carangidae-77",400314,2019,1.5875e-05,0.456868996363636,1,"Mean gapfilled"
1,"Lutjanidae-77",400323,2019,15.0162297222222,0.456868996363636,1,"Mean gapfilled"
1,"Gerreidae-77",400326,2019,3.57943376344086,0.456868996363636,1,"Mean gapfilled"
1,"Haemulidae-77",400327,2019,0.229493611111111,0.456868996363636,1,"Mean gapfilled"
1,"Lethrinidae-77",400328,2019,0.787552142857143,0.456868996363636,1,"Mean gapfilled"
1,"Sparidae-77",400330,2019,2.872063125,0.456868996363636,1,"Mean gapfilled"
1,"Sciaenidae-77",400331,2019,0.628899166666667,0.456868996363636,1,"Mean gapfilled"
1,"Mullidae-77",400332,2019,0.111423041474654,0.456868996363636,1,"Mean gapfilled"
1,"Mugilidae-77",400359,2019,29.0462188888889,0.456868996363636,1,"Mean gapfilled"
1,"Scaridae-77",400364,2019,0.642493571428571,0.456868996363636,1,"Mean gapfilled"
1,"Acanthuridae-77",400412,2019,0.197956866359447,0.456868996363636,1,"Mean gapfilled"
1,"Trichiuridae-77",400415,2019,1.89440588684375,0.456868996363636,1,"Mean gapfilled"
1,"Scombridae-77",400416,2019,0.000492053272727273,0.456868996363636,1,"Mean gapfilled"
1,"Istiophoridae-77",400419,2019,10.8836657777778,0.456868996363636,1,"Mean gapfilled"
1,"Stromateidae-77",400425,2019,0.977751182795699,0.456868996363636,1,"Mean gapfilled"
1,"Bothidae-77",400439,2019,2.54002993548387e-05,0.456868996363636,1,"Mean gapfilled"
1,"Balistidae-77",400445,2019,0.505482777777778,0.456868996363636,1,"Mean gapfilled"
1,"Triakidae-77",400488,2019,0.08667,0.456868996363636,1,"Mean gapfilled"
1,"Lithodidae-77",490036,2019,0.021171875,0.456868996363636,1,"Mean gapfilled"
1,"Crangonidae-77",490044,2019,0.444934210526316,0.456868996363636,1,"Mean gapfilled"
1,"Mytilidae-77",490054,2019,2.14918888888889,0.456868996363636,1,"Mean gapfilled"
1,"Veneridae-77",490060,2019,1.37312694444444,0.456868996363636,1,"Mean gapfilled"
1,"Brachyura-77",490097,2019,5.17197666666667,0.456868996363636,1,"Mean gapfilled"
1,"Mustelus-77",500348,2019,0.00012068,0.513977620909091,1,"Mean gapfilled"
1,"Lutjanus-77",500357,2019,2.58229722222222,0.513977620909091,1,"Mean gapfilled"
1,"Epinephelus-77",500366,2019,3.16750083333333,0.513977620909091,1,"Mean gapfilled"
1,"Sphyraena-77",500372,2019,1.31513443875,0.513977620909091,1,"Mean gapfilled"
1,"Caranx-77",500467,2019,5.84748972222222,0.513977620909091,1,"Mean gapfilled"
1,"Kyphosus-77",500477,2019,0.229523571428571,0.513977620909091,1,"Mean gapfilled"
1,"Centropomus-77",500504,2019,0.154346944444444,0.513977620909091,1,"Mean gapfilled"
1,"Trachinotus-77",500598,2019,0.115004722222222,0.513977620909091,1,"Mean gapfilled"
1,"Isurus-77",500638,2019,1.43335642857143,0.513977620909091,1,"Mean gapfilled"
1,"Alopias-77",500639,2019,0.603044285714286,0.513977620909091,1,"Mean gapfilled"
1,"Sphyrna-77",500693,2019,0.0724714285714286,0.513977620909091,1,"Mean gapfilled"
1,"Micropogonias-77",501327,2019,0.767402777777778,0.513977620909091,1,"Mean gapfilled"
1,"Thunnus-77",501905,2019,0.00137543995238095,0.513977620909091,1,"Mean gapfilled"
1,"Decapterus-77",502102,2019,0.668432350230415,0.513977620909091,1,"Mean gapfilled"
1,"Cynoscion-77",502794,2019,0.00023,0.513977620909091,1,"Mean gapfilled"
1,"Crassostrea-77",590014,2019,2.20174583333333,0.513977620909091,1,"Mean gapfilled"
1,"Haliotis-77",590046,2019,3.54463666666667,0.513977620909091,1,"Mean gapfilled"
1,"Strombus-77",590051,2019,1.30447611111111,0.513977620909091,1,"Mean gapfilled"
1,"Panulirus-77",590083,2019,8.797995,0.513977620909091,1,"Mean gapfilled"
1,"Penaeus-77",590096,2019,8.10371388888889,0.513977620909091,1,"Mean gapfilled"
1,"Coryphaena_hippurus-77",600006,2019,8.67613183666667,0.571086245454545,1,"Mean gapfilled"
1,"Istiophorus_platypterus-77",600077,2019,1.95381327616667,0.571086245454545,1,"Mean gapfilled"
1,"Aprion_virescens-77",600084,2019,1.62445,0.571086245454545,1,"Mean gapfilled"
1,"Lamna_nasus-77",600088,2019,2e-05,0.571086245454545,1,"Mean gapfilled"
1,"Acanthocybium_solandri-77",600089,2019,1.81051981566667,0.4292107,0,NA
1,"Euthynnus_lineatus-77",600098,2019,0.752160083861111,0.571086245454545,1,"Mean gapfilled"
1,"Katsuwonus_pelamis-77",600107,2019,1198.04997222222,0.6,0,NA
1,"Scomber_japonicus-77",600117,2019,228.262093861111,0.571086245454545,1,"Mean gapfilled"
1,"Squalus_acanthias-77",600139,2019,42.0840123529412,0.3631293,0,NA
1,"Thunnus_alalunga-77",600142,2019,134.478301944444,0.25,0,NA
1,"Thunnus_albacares-77",600143,2019,473.610460833333,0.805,0,NA
1,"Thunnus_obesus-77",600146,2019,139.891123333333,0.865824,0,NA
1,"Makaira_indica-77",600217,2019,0.249837795111111,0.571086245454545,1,"Mean gapfilled"
1,"Makaira_mazara-77",600218,2019,5.27558670066667,0.5313532,0,NA
1,"Tetrapturus_audax-77",600223,2019,12.2209567191944,0.3364165,0,NA
1,"Xiphias_gladius-77",600226,2019,38.7741381111111,0.9664395,0,NA
1,"Joturus_pichardi-77",600338,2019,0.0902731854166667,0.571086245454545,1,"Mean gapfilled"
1,"Seriola_lalandi-77",600382,2019,0.297914166666667,0.571086245454545,1,"Mean gapfilled"
1,"Selar_crumenophthalmus-77",600387,2019,2.33357825806452,0.571086245454545,1,"Mean gapfilled"
1,"Elagatis_bipinnulata-77",600412,2019,0.0377121428571429,0.571086245454545,1,"Mean gapfilled"
1,"Isurus_oxyrinchus-77",600752,2019,0.919241022222222,0.571086245454545,1,"Mean gapfilled"
1,"Mugil_cephalus-77",600785,2019,9.23694944444444,0.571086245454545,1,"Mean gapfilled"
1,"Prionace_glauca-77",600898,2019,0.064461968,0.662182,0,NA
1,"Lepidocybium_flavobrunneum-77",601042,2019,0.740883283333333,0.571086245454545,1,"Mean gapfilled"
1,"Ruvettus_pretiosus-77",601044,2019,2.87193214285714,0.571086245454545,1,"Mean gapfilled"
1,"Lampris_guttatus-77",601072,2019,12.2233955555556,0.571086245454545,1,"Mean gapfilled"
1,"Megalops_atlanticus-77",601079,2019,2.7488e-06,0.571086245454545,1,"Mean gapfilled"
1,"Anchoa_hepsetus-77",601133,2019,0.003459375,0.571086245454545,1,"Mean gapfilled"
1,"Clupea_pallasii_pallasii-77",601520,2019,0.0374331741935484,0.4723935,0,NA
1,"Alopias_superciliosus-77",602534,2019,0.145729444444444,0.571086245454545,1,"Mean gapfilled"
1,"Alopias_vulpinus-77",602535,2019,2.87266388888889,0.571086245454545,1,"Mean gapfilled"
1,"Tetrapturus_angustirostris-77",603915,2019,0.00450486895,0.571086245454545,1,"Mean gapfilled"
1,"Dosidicus_gigas-77",690206,2019,6.41212603938889,0.571086245454545,1,"Mean gapfilled"
1,"Crassostrea_gigas-77",690283,2019,34.6829091666667,0.571086245454545,1,"Mean gapfilled"
